item_group,item_num,month,forecast
10209,BOM-R8-5,2019-10,22850
10209,BOM-R8-5,2019-11,22850
10209,BOM-R8-5,2019-12,22850
10209,BOM-R8-5,2020-01,22850
10209,BOM-R8-5,2020-02,22850
10209,BOM-R8-5,2020-03,22850
10210,BOM-R10-10BFNP,2019-10,117
10210,BOM-R10-10BFNP,2019-11,119
10210,BOM-R10-10BFNP,2019-12,1520
10210,BOM-R10-10BFNP,2020-01,121
10210,BOM-R10-10BFNP,2020-02,1522
10210,BOM-R10-10BFNP,2020-03,1522
11225,MTP-B6-6S,2019-10,16858
11225,MTP-B6-6S,2019-11,13979
11225,MTP-B6-6S,2019-12,13979
11225,MTP-B6-6S,2020-01,13979
11225,MTP-B6-6S,2020-02,13979
11225,MTP-B6-6S,2020-03,13979
11225,MTP-B8-10S,2019-10,52002
11225,MTP-B8-10S,2019-11,52002
11225,MTP-B8-10S,2019-12,52002
11225,MTP-B8-10S,2020-01,52002
11225,MTP-B8-10S,2020-02,52002
11225,MTP-B8-10S,2020-03,52002
11225,MTP-B8-6S,2019-10,2839
11225,MTP-B8-6S,2019-11,2093
11225,MTP-B8-6S,2019-12,2736
11225,MTP-B8-6S,2020-01,2683
11225,MTP-B8-6S,2020-02,22046
11225,MTP-B8-6S,2020-03,2665
11245,ABV-R12-10X,2019-10,131416
11245,ABV-R12-10X,2019-11,131416
11245,ABV-R12-10X,2019-12,131416
11245,ABV-R12-10X,2020-01,131416
11245,ABV-R12-10X,2020-02,131416
11245,ABV-R12-10X,2020-03,131416
11245,MGLP-R12-12,2019-10,38000
11245,MGLP-R12-12,2019-11,38000
11245,MGLP-R12-12,2019-12,38000
11245,MGLP-R12-12,2020-01,38000
11245,MGLP-R12-12,2020-02,38000
11245,MGLP-R12-12,2020-03,38000
11247,MBP-R10-10,2019-10,7646
11247,MBP-R10-10,2019-11,13213
11247,MBP-R10-10,2019-12,9440
11247,MBP-R10-10,2020-01,8820
11247,MBP-R10-10,2020-02,10493
11247,MBP-R10-10,2020-03,9986
11247,MBP-R10-5,2019-10,152560
11247,MBP-R10-5,2019-11,152560
11247,MBP-R10-5,2019-12,152560
11247,MBP-R10-5,2020-01,152560
11247,MBP-R10-5,2020-02,152560
11247,MBP-R10-5,2020-03,152560
11265,MGDR-R8-10,2019-10,4465
11265,MGDR-R8-10,2019-11,3895
11265,MGDR-R8-10,2019-12,2930
11265,MGDR-R8-10,2020-01,3004
11265,MGDR-R8-10,2020-02,6938
11265,MGDR-R8-10,2020-03,9036
11280,MGLP-R8-10,2019-10,167737
11280,MGLP-R8-10,2019-11,167737
11280,MGLP-R8-10,2019-12,167737
11280,MGLP-R8-10,2020-01,167737
11280,MGLP-R8-10,2020-02,167737
11280,MGLP-R8-10,2020-03,167737
11280,MGLP-R8-6,2019-10,390969
11280,MGLP-R8-6,2019-11,774487
11280,MGLP-R8-6,2019-12,907453
11280,MGLP-R8-6,2020-01,913881
11280,MGLP-R8-6,2020-02,1045942
11280,MGLP-R8-6,2020-03,2499991
11280,MGLP-R8-E,2019-10,566572
11280,MGLP-R8-E,2019-11,566572
11280,MGLP-R8-E,2019-12,566572
11280,MGLP-R8-E,2020-01,566572
11280,MGLP-R8-E,2020-02,566572
11280,MGLP-R8-E,2020-03,566572
11280,MGLT-R8-6,2019-10,2225
11280,MGLT-R8-6,2019-11,8850
11280,MGLT-R8-6,2019-12,6975
11280,MGLT-R8-6,2020-01,11795
11280,MGLT-R8-6,2020-02,10224
11280,MGLT-R8-6,2020-03,9238
11281,MGLP-R6-4,2019-10,872864
11281,MGLP-R6-4,2019-11,872864
11281,MGLP-R6-4,2019-12,872864
11281,MGLP-R6-4,2020-01,872864
11281,MGLP-R6-4,2020-02,872864
11281,MGLP-R6-4,2020-03,872864
11281,MGLP-R6-7,2019-10,66751
11281,MGLP-R6-7,2019-11,66751
11281,MGLP-R6-7,2019-12,66751
11281,MGLP-R6-7,2020-01,66751
11281,MGLP-R6-7,2020-02,66751
11281,MGLP-R6-7,2020-03,66751
11281,MGLP-R6-E,2019-10,358951
11281,MGLP-R6-E,2019-11,243485
11281,MGLP-R6-E,2019-12,244255
11281,MGLP-R6-E,2020-01,187088
11281,MGLP-R6-E,2020-02,265761
11281,MGLP-R6-E,2020-03,1343085
11281,MGLT-R6-4,2019-10,57472
11281,MGLT-R6-4,2019-11,97686
11281,MGLT-R6-4,2019-12,73395
11281,MGLT-R6-4,2020-01,58390
11281,MGLT-R6-4,2020-02,75388
11281,MGLT-R6-4,2020-03,65522
11281,MGLT-R6-E,2019-10,43827
11281,MGLT-R6-E,2019-11,43827
11281,MGLT-R6-E,2019-12,43827
11281,MGLT-R6-E,2020-01,43827
11281,MGLT-R6-E,2020-02,43827
11281,MGLT-R6-E,2020-03,43827
11282,MGL100-U8-8,2019-10,20678
11282,MGL100-U8-8,2019-11,26077
11282,MGL100-U8-8,2019-12,27810
11282,MGL100-U8-8,2020-01,17848
11282,MGL100-U8-8,2020-02,20832
11282,MGL100-U8-8,2020-03,19702
11282,MGLP-U8-10,2019-10,20995
11282,MGLP-U8-10,2019-11,20995
11282,MGLP-U8-10,2019-12,20995
11282,MGLP-U8-10,2020-01,20995
11282,MGLP-U8-10,2020-02,20995
11282,MGLP-U8-10,2020-03,20995
11282,MGLP-U8-6,2019-10,115940
11282,MGLP-U8-6,2019-11,115940
11282,MGLP-U8-6,2019-12,115940
11282,MGLP-U8-6,2020-01,115940
11282,MGLP-U8-6,2020-02,115940
11282,MGLP-U8-6,2020-03,115940
11282,MGLP-U8-7BN,2019-10,15898
11282,MGLP-U8-7BN,2019-11,4546
11282,MGLP-U8-7BN,2019-12,4798
11282,MGLP-U8-7BN,2020-01,8900
11282,MGLP-U8-7BN,2020-02,10489
11282,MGLP-U8-7BN,2020-03,14217
11282,MGLP-U8-E,2019-10,40132
11282,MGLP-U8-E,2019-11,40132
11282,MGLP-U8-E,2019-12,40132
11282,MGLP-U8-E,2020-01,40132
11282,MGLP-U8-E,2020-02,40132
11282,MGLP-U8-E,2020-03,40132
11283,MGLP-U6-4,2019-10,185006
11283,MGLP-U6-4,2019-11,167382
11283,MGLP-U6-4,2019-12,167373
11283,MGLP-U6-4,2020-01,231005
11283,MGLP-U6-4,2020-02,183769
11283,MGLP-U6-4,2020-03,408553
11283,MGLP-U6-7,2019-10,26918
11283,MGLP-U6-7,2019-11,23266
11283,MGLP-U6-7,2019-12,21970
11283,MGLP-U6-7,2020-01,23674
11283,MGLP-U6-7,2020-02,30456
11283,MGLP-U6-7,2020-03,21910
11283,MGLP-U6-E,2019-10,143132
11283,MGLP-U6-E,2019-11,143132
11283,MGLP-U6-E,2019-12,143132
11283,MGLP-U6-E,2020-01,143132
11283,MGLP-U6-E,2020-02,143132
11283,MGLP-U6-E,2020-03,143132
11283,MGLP-U6-E9,2019-10,67115
11283,MGLP-U6-E9,2019-11,72752
11283,MGLP-U6-E9,2019-12,57999
11283,MGLP-U6-E9,2020-01,65122
11283,MGLP-U6-E9,2020-02,56784
11283,MGLP-U6-E9,2020-03,80825
11284,MGL100-B8-8,2019-10,7974
11284,MGL100-B8-8,2019-11,31400
11284,MGL100-B8-8,2019-12,31400
11284,MGL100-B8-8,2020-01,31400
11284,MGL100-B8-8,2020-02,31400
11284,MGL100-B8-8,2020-03,31400
11284,MGLP-B8-6,2019-10,207282
11284,MGLP-B8-6,2019-11,207282
11284,MGLP-B8-6,2019-12,207282
11284,MGLP-B8-6,2020-01,207282
11284,MGLP-B8-6,2020-02,207282
11284,MGLP-B8-6,2020-03,207282
11284,MGLP-B8-E,2019-10,36877
11284,MGLP-B8-E,2019-11,32968
11284,MGLP-B8-E,2019-12,31148
11284,MGLP-B8-E,2020-01,34951
11284,MGLP-B8-E,2020-02,31262
11284,MGLP-B8-E,2020-03,36686
11285,MGL100-B6-6,2019-10,111874
11285,MGL100-B6-6,2019-11,134177
11285,MGL100-B6-6,2019-12,102480
11285,MGL100-B6-6,2020-01,111336
11285,MGL100-B6-6,2020-02,111081
